Instance,OrderNo,ParentOrderNo,RootParentOrderNo,CreateDate,DeleteDate,AccID,AccCode,BuySell,Side,OrderSide,SecID,SecCode,Exchange,Destination,Quantity,PriceMultiplier,Price,Value,ValueMultiplier,DoneVolume,DoneValue,Currency,OrderType,PriceInstruction,TimeInForce,Lifetime,ClientOrderID,SecondaryClientOrderID,DestOrderNo,ExtDestOrderNo,DestUserID,OrderGiver,OrderTakerUserCode,IntermediaryID,OriginOfOrder,OrderCapacity,DirectedWholesale,ExecutionVenue,ExecutionInstructionsRaw
BURGERKING,72372283,55096261,468008605,2024-02-01 13:07:07.732746549,2024-02-01 16:32:35.948789757,85,ROBBO,B,1,Buy,935559491,BHP,ASX,CXA,15728,0.01,97.87115023174681,1314590.7225680125,0.01,8032,141334,AUD,4,Market On Close,41,Good Till Cancel,0.6932331015196366,0.5385138399012459,4162467638543528380,27Y19YXOGV80,4770,robbotest,admin@IRETEST,71423.78372440903,ROBTESTING,Principal,N,0.14875485443352565,"IADW(N), IOCA(Agency), IAOR(39)"
BURGERKING,72371760,46567211,651932639,2024-02-01 16:11:11.047009401,2024-02-01 16:37:39.237447489,144,NOEL,B,1,Short Sell,553895436,NXT,ASX,CXA,797,0.01,5.324241324317643,659753.2179471112,0.01,4495,799529,AUD,2,Limit,5,Good Till Cancel,0.07916115149336223,0.17861923537620983,4189863424871342843,27Y19YXOG7UF,4468,robtest,admin@ROBBOTEST,12599.794664530606,39,Agency,N,0.9349469879284427,"IAOR(ROBTESTING), IOCA(Agency), IADW(N), IAIN(123456)"
BURGERKING,72375159,32939774,472062144,2024-02-01 17:10:21.384276855,2024-02-01 17:14:02.915783156,85,ROBBO,B,2,Long Sell,139756048,PEN,AXW,CXA,13368,0.01,74.51024182828019,426242.53016872704,0.01,10398,1002774,AUD,2,Limit,7,Good Till Time,0.5190673422802408,0.5161279491970746,2024707301487361788,27Y19YXOG7UB,4619,robtest,admin@ROBBOTEST,53707.63491875145,NOEL,Principal,N,0.8897626182946315,"IAOR(TESTINGACC), IOCA(Agency), IADW(N)"
BURGERKING,72371424,5227412,319309289,2024-02-01 16:03:10.476495299,2024-02-01 14:51:23.435887177,119,ROBBO,S,4,Long Sell,1095934527,PEN,AXW,ASX,15568,0.01,66.55438540213905,238151.7747501917,0.01,10906,1087888,AUD,4,Market On Close,52,Good Till Cancel,0.39901653604716547,0.6831621450403097,999404363670857031,27Y19YXOG7UF,964,robbotest,admin@ROBBOTEST,105870.73823987304,HK,Principal,N,0.7377662868291097,"IADW(N), IOCA(Agency), IAOR(NOEL), IAIN(54321)"
BURGERKING,72370582,839479,670284316,2024-02-01 15:50:50.005601120,2024-02-01 18:38:37.945989197,9,ZM,B,2,Long Sell,587836748,BHP,AXW,ASX,1292,0.01,112.79518065217597,1218434.9323435987,0.01,8947,538567,AUD,2,Market On Close,25,Fill And Kill,0.19370203232201244,0.5431210908443018,414790889495267461,17Y19YXOID1C,488,robtest,admin@ROBBOTEST,29797.33673249657,ROBTESTING,Agency,N,0.4995917352990389,"IAOR(TESTINGACC), IOCA(Agency), IADW(N)"
BURGERKING,72372221,45361485,318693703,2024-02-01 15:50:30.390478095,2024-02-01 20:52:51.944788957,161,ROBBO,B,4,Short Sell,622490904,NXT,AXW,CXA,7058,0.01,7.377426323502223,970079.3735336296,0.01,2282,1182591,AUD,2,Market On Close,32,Fill And Kill,0.052430153951406155,0.9127901760940257,2415111235698448689,27Y19YXOG7UF,4317,robbotest,admin@IRETEST,33337.84768836302,39,Agency,N,0.847850307913375,"IOAR(NOEL), IOCA(Agency), IAIN(12345)"
BURGERKING,72373197,71120669,209215371,2024-02-01 13:51:45.197039407,2024-02-01 14:43:51.872774554,29,NOEL,B,3,Buy,554849086,CBA,AXW,ASX,1569,0.01,102.58979858505135,900712.2577401258,0.01,8017,466104,AUD,4,Market On Close,17,Fill And Kill,0.04742976347857786,0.738044410465743,2622913527086987171,27Y19YXOG7UD,1231,robbotest,admin@IRETEST,33644.64210155682,34976,Agency,N,0.854346838647407,"IADW(N), IOCA(Agency), IAOR(NOEL), IAIN(54321)"
BURGERKING,72372181,41374841,137682309,2024-02-01 12:09:55.086217243,2024-02-01 17:27:45.165033006,101,ZM,S,3,Buy,194528925,NXT,AXW,CXA,6478,0.01,25.599989992173324,446039.4108002439,0.01,4559,144087,AUD,2,Market On Close,40,End of Day,0.9517248844312446,0.22665223813008273,6569447925605819301,17Y19YXOGMGT,1936,robtest,admin@ROBBOTEST,118672.60769747227,HK,Agency,N,0.47498759895159337,"IOAR(NOEL), IOCA(Agency), IAIN(12345)"
BURGERKING,72370408,12146049,358018296,2024-02-01 16:23:51.133026605,2024-02-01 19:16:42.720544108,84,NOEL,B,2,Long Sell,717433108,IRE,AXW,ASX,3596,0.01,96.01972976693904,1201645.6423409923,0.01,4757,1219133,AUD,4,Limit,58,End of Day,0.13476091046367544,0.6789869571355085,4540808854953430200,27Y19YXOG7UB,848,robbotest,admin@ROBBOTEST,25384.99864870146,ROBTESTING,Principal,N,0.3190692776313343,"IADW(N), IOCA(Agency), IAOR(NOEL), IAIN(54321)"
BURGERKING,72372781,7017091,618535466,2024-02-01 17:36:45.305461092,2024-02-01 11:58:44.443288657,53,ZM,S,3,Short Sell,147531609,PEN,AXW,ASX,1559,0.01,89.84323473926192,151596.17504558232,0.01,14621,161618,AUD,2,Market On Close,50,Good Till Cancel,0.007215430607418805,0.46675278075651283,6106137251987330868,17Y19YXOID1C,3156,robtest,admin@IRETEST,43937.40771674155,NOEL,Agency,N,0.29993020240561996,"IAOR(TESTINGACC), IOCA(Agency), IADW(N)"
